County_ID,State,County_name,Metro_ind,Farm_ind,Policy_ind,Broadband_Avail_FCC,Broadband_Usage,TRN_BC_Number_of_Internet_Providers,DEM_2020Census_HousingUnits_Total,FED_USDA_Amount,HHS_SAIPE_Poverty_Rate,mean_plan_price,plan_count
1067,AL,Henry County,1,0,1,0.6405,0.107,8.0,9058.0,18978186.0,0.172,48.663333333333334,3.0
1069,AL,Houston County,1,0,1,0.8734,0.54,11.0,49282.0,48490807.0,0.19399999999999998,48.878888888888895,9.0
1071,AL,Jackson County,0,0,1,0.9643,0.419,8.0,24627.0,72493120.0,0.147,73.99666666666667,15.0
1073,AL,Jefferson County,1,0,1,0.9906,0.532,15.0,307927.0,155938977.0,0.162,36.97895833333333,48.0
1075,AL,Lamar County,0,0,1,0.4309,0.095,7.0,7071.0,6014325.0,0.153,54.968,5.0
1077,AL,Lauderdale County,1,0,1,0.8173,0.36,11.0,44585.0,46911622.0,0.157,42.62375,8.0
1079,AL,Lawrence County,1,0,1,0.5525,0.09,7.0,15225.0,21915375.0,0.177,48.995999999999995,5.0
1081,AL,Lee County,1,0,1,0.9631,0.59,11.0,74856.0,68704580.0,0.155,38.499,10.0
1083,AL,Limestone County,1,0,1,0.9079,0.555,10.0,42692.0,153242853.0,0.12,39.9975,8.0
1085,AL,Lowndes County,1,0,1,0.1441,0.063,8.0,4779.0,10510040.0,0.266,74.99,2.0
1087,AL,Macon County,0,0,1,0.6502,0.114,8.0,9604.0,3770704.0,0.293,66.7325,4.0
1089,AL,Madison County,1,0,1,0.9644,0.747,13.0,169820.0,372914677.0,0.115,35.45409090909091,22.0
1091,AL,Marengo County,0,0,1,0.1696,0.08,9.0,9777.0,13804519.0,0.248,64.99333333333333,3.0
1093,AL,Marion County,0,0,1,0.8241,0.315,7.0,14073.0,25373465.0,0.16899999999999998,53.52714285714285,7.0
1095,AL,Marshall County,0,0,1,0.9598,0.561,13.0,41245.0,112409638.0,0.157,56.21,9.0
1097,AL,Mobile County,1,0,1,0.935,0.506,11.0,184441.0,258308185.0,0.177,43.67441176470588,34.0
1099,AL,Monroe County,0,0,1,0.8964,0.243,6.0,10127.0,11371299.0,0.233,56.65666666666666,3.0
1101,AL,Montgomery County,1,0,1,0.9749,0.637,11.0,105293.0,38546496.0,0.158,40.99263157894737,19.0
1103,AL,Morgan County,1,0,1,0.9167,0.589,12.0,53265.0,44219934.0,0.13699999999999998,52.22,9.0
1105,AL,Perry County,0,0,1,0.0012,0.032,4.0,3933.0,7114661.0,0.33899999999999997,55.0,1.0
1107,AL,Pickens County,1,0,1,0.5724,0.11,9.0,8646.0,10257521.0,0.243,68.32666666666667,3.0
1109,AL,Pike County,0,0,1,0.9254,0.354,9.0,15977.0,44569892.0,0.218,65.76,5.0
1111,AL,Randolph County,0,0,1,0.6422,0.161,7.0,12400.0,29155219.0,0.175,71.22999999999999,4.0
1113,AL,Russell County,1,0,1,0.8929,0.402,7.0,27253.0,23137484.0,0.18899999999999997,37.4975,4.0
1115,AL,St. Clair County,1,0,1,0.8901,0.361,12.0,37775.0,151189986.0,0.11199999999999999,52.499,10.0
1117,AL,Shelby County,1,0,1,0.9546,0.589,13.0,89060.0,172510221.0,0.062,40.624375,16.0
1119,AL,Sumter County,0,0,1,0.4666,0.13,6.0,6279.0,3643372.0,0.364,50.992,5.0
1121,AL,Talladega County,0,0,1,0.8121,0.361,10.0,37948.0,51400042.0,0.174,37.142857142857146,7.0
1123,AL,Tallapoosa County,0,0,1,0.9169,0.736,10.0,22686.0,22145090.0,0.16,62.992,5.0
1125,AL,Tuscaloosa County,1,0,1,0.9228,0.487,12.0,101460.0,200198819.0,0.162,43.23529411764706,17.0
